ACTION_NAME, TIMESTAMP
A new book category has been added., 12-05-2021 21:51:47
A new publishing house has been added., 12-05-2021 21:51:57
A new author has been added., 12-05-2021 21:52:14
A book has been added., 12-05-2021 21:53:09
A person was verified if he is a member or not., 12-05-2021 21:53:23
A new book category has been added., 12-05-2021 21:53:30
A new member has been added., 12-05-2021 21:53:44
A person was verified if he is a member or not., 12-05-2021 21:54:05
A book has been reserved., 12-05-2021 21:54:08
All the available titles have been shown., 12-05-2021 21:54:31
The total sales value has been shown., 12-05-2021 21:54:37
The number of exemplars from a specific title has been shown., 12-05-2021 21:54:50
A person was verified if he is a member or not., 12-05-2021 21:55:00
A member account has been closed., 12-05-2021 21:55:00
A new member has been added., 12-05-2021 22:26:37
A new member has been added., 12-05-2021 22:29:18
A new member has been added., 12-05-2021 22:35:10
A new member has been added., 12-05-2021 22:45:54
A new member has been added., 12-05-2021 22:51:43
A new member has been added., 12-05-2021 22:54:14
A new member has been added., 12-05-2021 22:57:40
A new member has been added., 12-05-2021 22:58:33
A member account has been closed., 12-05-2021 23:02:59
A member account has been closed., 12-05-2021 23:13:42
A member account has been closed., 12-05-2021 23:16:40
A member account has been closed., 12-05-2021 23:18:00
A new member has been added., 12-05-2021 23:24:59
A person was verified if he is a member or not., 12-05-2021 23:25:21
A person was verified if he is a member or not., 12-05-2021 23:25:52
A person was verified if he is a member or not., 12-05-2021 23:27:07
A book has been reserved., 12-05-2021 23:27:08
A person was verified if he is a member or not., 12-05-2021 23:35:10
A person was verified if he is a member or not., 12-05-2021 23:35:17
A book has been reserved., 12-05-2021 23:35:19
A new book category has been added., 12-05-2021 23:37:53
A new publishing house has been added., 12-05-2021 23:38:14
All the available titles have been shown., 12-05-2021 23:39:08
All the titles from a specific category have been shown., 12-05-2021 23:39:21
